Rank,Name,Catagory,Best_Flim, Link 
77,Bill Murray,Actor , Lost in Translation,https://www.imdb.com/name/nm0000195
78,Sigourney Weaver,Actress , Avatar,https://www.imdb.com/name/nm0000244
79,Jake Gyllenhaal,Actor , Nightcrawler,https://www.imdb.com/name/nm0350453
80,Kamal Haasan,Actor , Vishwaroopam,https://www.imdb.com/name/nm0352032
81,Jason Statham,Actor , Crank,https://www.imdb.com/name/nm0005458
82,Jet Li,Actor , The One,https://www.imdb.com/name/nm0001472
83,Kate Beckinsale,Actress , Underworld: Evolution,https://www.imdb.com/name/nm0000295
84,Rowan Atkinson,Actor , Johnny English,https://www.imdb.com/name/nm0000100
85,Marlon Brando,Actor , Apocalypse Now,https://www.imdb.com/name/nm0000008
86,John Travolta,Actor , Pulp Fiction,https://www.imdb.com/name/nm0000237
87,Channing Tatum,Actor , 21 Jump Street,https://www.imdb.com/name/nm1475594
88,Ben Affleck,Producer , Argo,https://www.imdb.com/name/nm0000255
89,Shah Rukh Khan,Actor , Don 2,https://www.imdb.com/name/nm0451321
90,Jennifer Aniston,Actress , Friends,https://www.imdb.com/name/nm0000098
91,Emma Stone,Actress , La La Land,https://www.imdb.com/name/nm1297015
92,Chris Hemsworth,Actor , The Avengers,https://www.imdb.com/name/nm1165110
93,James McAvoy,Actor , Filth,https://www.imdb.com/name/nm0564215
94,James Cameron,Writer , Avatar,https://www.imdb.com/name/nm0000116
95,Amitabh Bachchan,Actor , Black,https://www.imdb.com/name/nm0000821
96,Brendan Fraser,Actor , The Mummy,https://www.imdb.com/name/nm0000409
97,Rachel McAdams,Actress , The Notebook,https://www.imdb.com/name/nm1046097
98,Tom Hiddleston,Actor , The Avengers,https://www.imdb.com/name/nm1089991
99,Aamir Khan,Actor , Taare Zameen Par,https://www.imdb.com/name/nm0451148
100,Rajinikanth,Actor , Enthiran,https://www.imdb.com/name/nm0707425
